HourUTC,HourDK,PriceArea,CentralPowerMWh,LocalPowerMWh,CommercialPowerMWh,LocalPowerSelfConMWh,OffshoreWindLt100MW_MWh,OffshoreWindGe100MW_MWh,OnshoreWindLt50kW_MWh,OnshoreWindGe50kW_MWh,HydroPowerMWh,SolarPowerLt10kW_MWh,SolarPowerGe10Lt40kW_MWh,SolarPowerGe40kW_MWh,SolarPowerSelfConMWh,UnknownProdMWh,ExchangeNO_MWh,ExchangeSE_MWh,ExchangeGE_MWh,ExchangeNL_MWh,ExchangeGreatBelt_MWh,GrossConsumptionMWh,GridLossTransmissionMWh,GridLossInterconnectorsMWh,GridLossDistributionMWh,PowerToHeatMWh
2023-10-28T21:00:00,2023-10-28T23:00:00,DK1,101.838185,98.250245,86.446025,19.103641,227.41663,962.483894,9.469475,2029.870611,3.219898,0.096336,0.044216,0.066927,0,0.057554,-575.47,-661.44,-806.46,532.71,529.6,2557.303637,83.351213,69.8802,102.460061,233.553609
2023-10-28T21:00:00,2023-10-28T23:00:00,DK2,12.914452,67.461581,169.262696,12.734133,30.0614,583.705525,0.597247,239.227731,0,0.103084,0.022678,0.00055,0,2.831697,,909.88,-115.41,,-538.4,1374.992774,21.77237,0,59.925828,61.86026
2023-10-28T20:00:00,2023-10-28T22:00:00,DK1,128.844779,95.086064,87.992379,19.093202,226.178713,959.726241,9.063063,1937.703282,3.218461,0.096785,0.036779,0.073871,0,0.056455,-123.08,-389.24,-1702.44,669.12,578.7,2500.230074,84.291947,78.2445,104.050021,178.432483
2023-10-28T20:00:00,2023-10-28T22:00:00,DK2,12.97658,68.075554,174.205453,13.071874,23.9849,624.268963,0.541456,249.055837,0,0.101377,0.028546,0.00012,0,3.395273,,1001.98,-132.62,,-588.5,1450.565933,2.404064,0,62.903507,61.27779
2023-10-28T19:00:00,2023-10-28T21:00:00,DK1,258.242516,99.069929,88.725806,19.355385,222.996966,948.416533,8.436473,1805.637912,3.221322,0.096305,0.040436,0.082964,0,0.04529,325.53,96.2,-1836.58,136.64,479.7,2655.857837,83.114931,64.8556,104.440874,191.820467
2023-10-28T19:00:00,2023-10-28T21:00:00,DK2,12.715836,66.830984,177.83747,13.363095,20.7091,559.517054,0.507528,245.701867,0,0.118273,0.031121,0.000133,0,2.210512,,1035.23,-128.35,,-487.1,1519.322973,7.22616,0,65.952267,59.54509
2023-10-28T18:00:00,2023-10-28T20:00:00,DK1,365.670739,144.22027,84.788424,18.940203,222.182931,935.063594,8.13089,1680.358638,3.200811,0.118459,0.03626,0.089103,0,0.05031,733.59,513.61,-1816.22,-539.33,251.3,2605.800632,90.687907,55.6374,105.317319,136.375866
2023-10-28T18:00:00,2023-10-28T20:00:00,DK2,29.90165,70.670139,219.047339,13.168546,23.4961,504.192783,0.491221,245.8252,0,0.146426,0.027152,0.000131,0,2.678658,,883.85,-154.1,,-254.6,1584.795345,24.671572,0,68.7055,51.15412
2023-10-28T17:00:00,2023-10-28T19:00:00,DK1,443.159172,180.769625,92.765229,18.655216,222.842778,911.554709,7.63206,1558.980009,3.12444,0.126487,0.043132,0.107494,0,0.051422,690.8,545.68,-1828.67,-308.71,61.6,2600.511773,85.842293,38.7665,108.793313,33.110799
2023-10-28T17:00:00,2023-10-28T19:00:00,DK2,51.96525,72.669761,225.200555,13.171834,23.1607,497.154591,0.53865,243.734071,0,0.18003,0.029907,0.0007,0,4.566421,,707.33,-94.74,,-63.3,1681.66247,23.598351,0,72.881975,36.01221
2023-10-28T16:00:00,2023-10-28T18:00:00,DK1,467.528162,213.015012,94.405415,18.360785,218.357172,835.161634,7.099427,1472.364057,3.129734,0.160357,0.053669,0.144682,0,0.070528,798.63,87.83,-898.98,-283.34,-347.3,2686.690634,74.892268,61.6568,114.736115,19.846655
2023-10-28T16:00:00,2023-10-28T18:00:00,DK2,55.320026,73.299958,226.619341,13.649104,24.0759,482.974474,0.503711,206.758775,0,0.236871,0.044498,0.000741,0,4.754763,,180.41,180.07,,342.2,1790.918162,25.065269,0,77.865916,4.72884
2023-10-28T15:00:00,2023-10-28T17:00:00,DK1,480.74929,200.234443,93.941692,18.137749,215.892579,799.693085,6.891346,1354.040445,3.142058,0.184828,0.048225,5.44447,0,0.053407,1305.78,131.1,-1526.53,21.48,-393,2717.283617,84.415606,60.0198,111.64598,15.766113
2023-10-28T15:00:00,2023-10-28T17:00:00,DK2,54.341436,72.075426,225.836452,14.219731,20.5106,457.797193,0.428356,186.821422,0,0.239394,0.027678,2.240696,0,3.592896,,44.35,281.87,,387.2,1751.55128,15.475528,0,74.896068,6.31746
2023-10-28T14:00:00,2023-10-28T16:00:00,DK1,472.270929,150.990677,89.93905,19.445532,210.593341,710.583328,6.862025,1239.221159,3.145359,0.491982,0.112018,47.093194,0,0.056783,1353.13,632.12,-1851.43,13.51,-509.8,2588.335377,96.01038,65.22745,102.34843,34.029378
2023-10-28T14:00:00,2023-10-28T16:00:00,DK2,54.038594,71.289499,152.184003,15.155271,18.7093,443.823045,0.406576,174.186899,0,0.419179,0.059218,18.024392,0,4.237774,,327.92,-107.03,,501.7,1675.12375,15.643037,0,69.026488,36.97411
2023-10-28T13:00:00,2023-10-28T15:00:00,DK1,410.225111,125.355831,88.691045,22.456248,201.386076,742.604436,7.088749,1204.045323,3.083755,1.876935,0.314544,97.898672,0,0.072251,1054.32,690.26,-2233.72,670.19,-382.4,2703.748976,95.340642,71.779475,100.944217,153.759243
2023-10-28T13:00:00,2023-10-28T15:00:00,DK2,44.739854,67.782566,89.120117,17.986049,18.5362,418.311736,0.416771,175.632608,0,1.82565,0.256956,33.378045,5.753349,2.444892,,97.94,309.27,,376.8,1660.194793,16.310714,0,67.362762,51.55398
2023-10-28T12:00:00,2023-10-28T14:00:00,DK1,369.021678,118.058042,88.67486,24.353044,197.268471,706.784854,7.199953,1204.774772,3.084624,4.581316,0.690041,152.393709,0,0.079768,511.53,349.64,-1386.51,682.24,-265.8,2768.065132,71.206593,70.9116,99.757394,196.843861
2023-10-28T12:00:00,2023-10-28T14:00:00,DK2,45.731578,59.080164,81.27758,18.708638,16.7483,386.413318,0.484976,175.186818,0,3.353446,0.39766,65.324733,0,2.650886,,194.52,349.47,,262.2,1661.548097,18.312472,0,68.056973,51.64345
2023-10-28T11:00:00,2023-10-28T13:00:00,DK1,371.204381,120.466355,87.125027,26.453168,186.257641,672.947251,7.085241,1164.192262,3.100237,7.39739,0.966317,203.855029,0,0.023895,481.8,150.36,-1442.47,625.47,83.7,2749.934194,62.983243,51.9603,100.486121,199.720872
2023-10-28T11:00:00,2023-10-28T13:00:00,DK2,42.408832,56.571002,170.106346,19.190986,16.6841,385.346421,0.429611,167.938914,0,3.997697,0.483118,72.686134,0.101051,2.231384,,491.35,338.71,,-85.8,1682.435596,43.348894,0,68.889528,52.387
2023-10-28T10:00:00,2023-10-28T12:00:00,DK1,321.19651,116.733096,87.325159,26.001588,188.483546,669.150522,6.409806,1075.7625,3.126488,7.760849,1.035619,225.399159,0,0.011252,657.52,658.61,-2070.87,612.45,229.2,2815.306094,73.871622,60.8679,99.685282,194.829199
