web-scraper-order	web-scraper-start-url	                                                        Hour UTC	        Hour DK	            Price area	Central Power	Local Power	CommercialPowerMWh	Commercial power self-consumption	Offshore Wind (<100MW) MWh	Offshore Wind (>=100MW) MWh	Onshore wind < 50 kW	Onshore wind >= 50 kW	Hydro Power MWh	Solar power 0-10 kW	Solar power 10-40 kW	Solar power over 40 kW	Solar power Self-consumption MWh	Unknown production MWh	Exchange of Energy to Norway	Exchange of Energy to Sweden	Exchange of Energy to Germany	Exchange of Energy to the Netherlands	Exchange of Energy over the Great Belt	Gross consumption	Transmission Grid Loss	Transmission Grid Loss, interconnectors	Distribution Grid Loss MWh	Power To Heat
1699276491-1	https://www.energidataservice.dk/tso-electricity/productionconsumptionsettlement	2023-10-28 21.00Z	2023-10-28 23.00	DK1	101,8	98,3	86,4	19,1	227,4	962,5	9,5	2.029,9	3,2	0,1	0,0	0,1	0,0	0,1	-575,5	-661,4	-806,5	532,7	529,6	2.557,3	83,4	69,9	102,5	233,6
1699276491-2	https://www.energidataservice.dk/tso-electricity/productionconsumptionsettlement	2023-10-28 21.00Z	2023-10-28 23.00	DK2	12,9	67,5	169,3	12,7	30,1	583,7	0,6	239,2	0,0	0,1	0,0	0,0	0,0	2,8		909,9	-115,4		-538,4	1.375,0	21,8	0,0	59,9	61,9
1699276491-3	https://www.energidataservice.dk/tso-electricity/productionconsumptionsettlement	2023-10-28 20.00Z	2023-10-28 22.00	DK1	128,8	95,1	88,0	19,1	226,2	959,7	9,1	1.937,7	3,2	0,1	0,0	0,1	0,0	0,1	-123,1	-389,2	-1.702,4	669,1	578,7	2.500,2	84,3	78,2	104,1	178,4
1699276491-4	https://www.energidataservice.dk/tso-electricity/productionconsumptionsettlement	2023-10-28 20.00Z	2023-10-28 22.00	DK2	13,0	68,1	174,2	13,1	24,0	624,3	0,5	249,1	0,0	0,1	0,0	0,0	0,0	3,4		1.002,0	-132,6		-588,5	1.450,6	2,4	0,0	62,9	61,3
1699276491-5	https://www.energidataservice.dk/tso-electricity/productionconsumptionsettlement	2023-10-28 19.00Z	2023-10-28 21.00	DK1	258,2	99,1	88,7	19,4	223,0	948,4	8,4	1.805,6	3,2	0,1	0,0	0,1	0,0	0,0	325,5	96,2	-1.836,6	136,6	479,7	2.655,9	83,1	64,9	104,4	191,8
1699276491-6	https://www.energidataservice.dk/tso-electricity/productionconsumptionsettlement	2023-10-28 19.00Z	2023-10-28 21.00	DK2	12,7	66,8	177,8	13,4	20,7	559,5	0,5	245,7	0,0	0,1	0,0	0,0	0,0	2,2		1.035,2	-128,4		-487,1	1.519,3	7,2	0,0	66,0	59,5
1699276491-7	https://www.energidataservice.dk/tso-electricity/productionconsumptionsettlement	2023-10-28 18.00Z	2023-10-28 20.00	DK1	365,7	144,2	84,8	18,9	222,2	935,1	8,1	1.680,4	3,2	0,1	0,0	0,1	0,0	0,1	733,6	513,6	-1.816,2	-539,3	251,3	2.605,8	90,7	55,6	105,3	136,4
1699276491-8	https://www.energidataservice.dk/tso-electricity/productionconsumptionsettlement	2023-10-28 18.00Z	2023-10-28 20.00	DK2	29,9	70,7	219,0	13,2	23,5	504,2	0,5	245,8	0,0	0,1	0,0	0,0	0,0	2,7		883,9	-154,1		-254,6	1.584,8	24,7	0,0	68,7	51,2
1699276491-9	https://www.energidataservice.dk/tso-electricity/productionconsumptionsettlement	2023-10-28 17.00Z	2023-10-28 19.00	DK1	443,2	180,8	92,8	18,7	222,8	911,6	7,6	1.559,0	3,1	0,1	0,0	0,1	0,0	0,1	690,8	545,7	-1.828,7	-308,7	61,6	2.600,5	85,8	38,8	108,8	33,1
1699276491-10	https://www.energidataservice.dk/tso-electricity/productionconsumptionsettlement	2023-10-28 17.00Z	2023-10-28 19.00	DK2	52,0	72,7	225,2	13,2	23,2	497,2	0,5	243,7	0,0	0,2	0,0	0,0	0,0	4,6		707,3	-94,7		-63,3	1.681,7	23,6	0,0	72,9	36,0
1699276491-11	https://www.energidataservice.dk/tso-electricity/productionconsumptionsettlement	2023-10-28 16.00Z	2023-10-28 18.00	DK1	467,5	213,0	94,4	18,4	218,4	835,2	7,1	1.472,4	3,1	0,2	0,1	0,1	0,0	0,1	798,6	87,8	-899,0	-283,3	-347,3	2.686,7	74,9	61,7	114,7	19,8
1699276491-12	https://www.energidataservice.dk/tso-electricity/productionconsumptionsettlement	2023-10-28 16.00Z	2023-10-28 18.00	DK2	55,3	73,3	226,6	13,6	24,1	483,0	0,5	206,8	0,0	0,2	0,0	0,0	0,0	4,8		180,4	180,1		342,2	1.790,9	25,1	0,0	77,9	4,7
1699276491-13	https://www.energidataservice.dk/tso-electricity/productionconsumptionsettlement	2023-10-28 15.00Z	2023-10-28 17.00	DK1	480,7	200,2	93,9	18,1	215,9	799,7	6,9	1.354,0	3,1	0,2	0,0	5,4	0,0	0,1	1.305,8	131,1	-1.526,5	21,5	-393,0	2.717,3	84,4	60,0	111,6	15,8
1699276491-14	https://www.energidataservice.dk/tso-electricity/productionconsumptionsettlement	2023-10-28 15.00Z	2023-10-28 17.00	DK2	54,3	72,1	225,8	14,2	20,5	457,8	0,4	186,8	0,0	0,2	0,0	2,2	0,0	3,6		44,4	281,9		387,2	1.751,6	15,5	0,0	74,9	6,3
1699276491-15	https://www.energidataservice.dk/tso-electricity/productionconsumptionsettlement	2023-10-28 14.00Z	2023-10-28 16.00	DK1	472,3	151,0	89,9	19,4	210,6	710,6	6,9	1.239,2	3,1	0,5	0,1	47,1	0,0	0,1	1.353,1	632,1	-1.851,4	13,5	-509,8	2.588,3	96,0	65,2	102,3	34,0
1699276491-16	https://www.energidataservice.dk/tso-electricity/productionconsumptionsettlement	2023-10-28 14.00Z	2023-10-28 16.00	DK2	54,0	71,3	152,2	15,2	18,7	443,8	0,4	174,2	0,0	0,4	0,1	18,0	0,0	4,2		327,9	-107,0		501,7	1.675,1	15,6	0,0	69,0	37,0
1699276491-17	https://www.energidataservice.dk/tso-electricity/productionconsumptionsettlement	2023-10-28 13.00Z	2023-10-28 15.00	DK1	410,2	125,4	88,7	22,5	201,4	742,6	7,1	1.204,0	3,1	1,9	0,3	97,9	0,0	0,1	1.054,3	690,3	-2.233,7	670,2	-382,4	2.703,7	95,3	71,8	100,9	153,8
1699276491-18	https://www.energidataservice.dk/tso-electricity/productionconsumptionsettlement	2023-10-28 13.00Z	2023-10-28 15.00	DK2	44,7	67,8	89,1	18,0	18,5	418,3	0,4	175,6	0,0	1,8	0,3	33,4	5,8	2,4		97,9	309,3		376,8	1.660,2	16,3	0,0	67,4	51,6
1699276491-19	https://www.energidataservice.dk/tso-electricity/productionconsumptionsettlement	2023-10-28 12.00Z	2023-10-28 14.00	DK1	369,0	118,1	88,7	24,4	197,3	706,8	7,2	1.204,8	3,1	4,6	0,7	152,4	0,0	0,1	511,5	349,6	-1.386,5	682,2	-265,8	2.768,1	71,2	70,9	99,8	196,8
1699276491-20	https://www.energidataservice.dk/tso-electricity/productionconsumptionsettlement	2023-10-28 12.00Z	2023-10-28 14.00	DK2	45,7	59,1	81,3	18,7	16,7	386,4	0,5	175,2	0,0	3,4	0,4	65,3	0,0	2,7		194,5	349,5		262,2	1.661,5	18,3	0,0	68,1	51,6
1699276491-21	https://www.energidataservice.dk/tso-electricity/productionconsumptionsettlement	2023-10-28 11.00Z	2023-10-28 13.00	DK1	371,2	120,5	87,1	26,5	186,3	672,9	7,1	1.164,2	3,1	7,4	1,0	203,9	0,0	0,0	481,8	150,4	-1.442,5	625,5	83,7	2.749,9	63,0	52,0	100,5	199,7
1699276491-22	https://www.energidataservice.dk/tso-electricity/productionconsumptionsettlement	2023-10-28 11.00Z	2023-10-28 13.00	DK2	42,4	56,6	170,1	19,2	16,7	385,3	0,4	167,9	0,0	4,0	0,5	72,7	0,1	2,2		491,4	338,7		-85,8	1.682,4	43,3	0,0	68,9	52,4
1699276491-23	https://www.energidataservice.dk/tso-electricity/productionconsumptionsettlement	2023-10-28 10.00Z	2023-10-28 12.00	DK1	321,2	116,7	87,3	26,0	188,5	669,2	6,4	1.075,8	3,1	7,8	1,0	225,4	0,0	0,0	657,5	658,6	-2.070,9	612,5	229,2	2.815,3	73,9	60,9	99,7	194,8
1699276491-24	https://www.energidataservice.dk/tso-electricity/productionconsumptionsettlement	2023-10-28 10.00Z	2023-10-28 12.00	DK2	41,6	54,1	181,1	19,7	19,6	425,6	0,4	141,9	0,0	3,7	0,4	59,4	3,4	2,4		726,5	250,2		-232,3	1.697,7	14,5	0,0	68,7	52,4
1699276491-25	https://www.energidataservice.dk/tso-electricity/productionconsumptionsettlement	2023-10-28 09.00Z	2023-10-28 11.00	DK1	297,3	125,1	84,7	23,6	188,5	678,7	5,6	999,4	3,1	5,3	0,7	187,8	0,0	0,0	942,8	699,5	-2.282,2	607,1	271,2	2.838,4	75,9	55,8	100,0	166,6
1699276491-26	https://www.energidataservice.dk/tso-electricity/productionconsumptionsettlement	2023-10-28 09.00Z	2023-10-28 11.00	DK2	48,0	54,5	179,9	18,6	24,3	501,4	0,4	125,5	0,0	3,1	0,4	55,4	11,1	2,4		1.116,8	-143,2		-274,9	1.723,8	24,4	0,0	69,1	64,2
1699276491-27	https://www.energidataservice.dk/tso-electricity/productionconsumptionsettlement	2023-10-28 08.00Z	2023-10-28 10.00	DK1	415,8	132,1	86,7	21,4	184,4	696,9	4,6	885,2	3,1	2,1	0,3	107,0	0,0	0,0	1.052,3	715,2	-1.905,1	-4,8	390,3	2.787,5	75,4	40,2	98,3	97,3
1699276491-28	https://www.energidataservice.dk/tso-electricity/productionconsumptionsettlement	2023-10-28 08.00Z	2023-10-28 10.00	DK2	52,2	59,3	182,1	17,1	22,4	525,5	0,3	138,0	0,0	1,5	0,2	38,7	1,6	2,5		1.187,1	-150,3		-395,9	1.682,4	26,9	0,0	68,4	53,2
1699276491-29	https://www.energidataservice.dk/tso-electricity/productionconsumptionsettlement	2023-10-28 07.00Z	2023-10-28 09.00	DK1	372,9	112,0	83,3	17,6	180,0	700,1	4,5	793,4	3,1	0,4	0,1	42,7	0,0	0,0	1.420,8	716,0	-1.539,2	-547,6	303,6	2.663,9	74,2	53,4	96,9	42,1
1699276491-30	https://www.energidataservice.dk/tso-electricity/productionconsumptionsettlement	2023-10-28 07.00Z	2023-10-28 09.00	DK2	52,6	54,9	168,4	15,2	14,5	580,2	0,3	142,5	0,0	0,4	0,1	15,1	1,3	2,8		1.055,2	-170,7		-307,7	1.625,1	26,2	0,0	65,9	60,2
